team_id,team_name,match_number_x,date,result,score,opponent,tournament,match_url,match_number_y,maps_played,map_results,our_scores,their_scores,total_maps,maps_won,maps_lost,all_players,all_player_teams,all_player_ratings
120,100 Thieves,11,2025/04/24,L,0:2,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/475897/mibr-vs-100-thieves-champions-tour-2025-americas-stage-1-ubr1,11.0,"['Split', 'Icebox']","['L', 'L']","[10.0, 4.0]","[13.0, 13.0]",2.0,0.0,2.0,"['Verno', 'aspas', 'cortezia', 'xenom', 'artzin', 'eeiu', 'Cryocells', 'Asuna', 'zander', 'Boostio', 'Verno', 'aspas', 'cortezia', 'xenom', 'artzin', 'eeiu', 'Cryocells', 'Asuna', 'zander', 'Boostio']","['MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR', '100T', '100T', '100T', '100T', '100T', 'MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR', '100T', '100T', '100T', '100T', '100T']","[1.39, 1.31, 1.29, 0.99, 0.75, 1.08, 0.94, 0.83, 0.67, 0.51, 1.39, 1.31, 1.29, 0.99, 0.75, 1.08, 0.94, 0.83, 0.67, 0.51]"
120,100 Thieves,12,2025/04/19,L,0:2,KRÜ Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459544/kr-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-w5,12.0,"['Fracture', 'Icebox']","['L', 'L']","[10.0, 9.0]","[13.0, 13.0]",2.0,0.0,2.0,"['Shyy', 'adverso', 'keznit', 'Melser', 'Mazino', 'eeiu', 'Cryocells', 'Asuna', 'zander', 'Boostio', 'Shyy', 'adverso', 'keznit', 'Melser', 'Mazino', 'eeiu', 'Cryocells', 'Asuna', 'zander', 'Boostio']","['KRÜ', 'KRÜ', 'KRÜ', 'KRÜ', 'KRÜ', '100T', '100T', '100T', '100T', '100T', 'KRÜ', 'KRÜ', 'KRÜ', 'KRÜ', 'KRÜ', '100T', '100T', '100T', '100T', '100T']","[1.23, 1.04, 1.02, 1.01, 0.97, 1.3, 1.0, 0.99, 0.88, 0.56, 1.23, 1.04, 1.02, 1.01, 0.97, 1.3, 1.0, 0.99, 0.88, 0.56]"
120,100 Thieves,13,2025/04/11,W,2:0,2Game Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459535/100-thieves-vs-2game-esports-champions-tour-2025-americas-stage-1-w4,13.0,"['Ascent', 'Icebox']","['W', 'W']","[15.0, 13.0]","[13.0, 6.0]",2.0,2.0,0.0,"['Cryocells', 'Boostio', 'Asuna', 'zander', 'eeiu', 'Askia', 'lz', 'PxS', 'gobera', 'silentzz']","['100T', '100T', '100T', '100T', '100T', '2G', '2G', '2G', '2G', '2G']","[1.46, 1.3, 1.13, 1.06, 0.91, 1.01, 0.97, 0.77, 0.76, 0.75]"
120,100 Thieves,14,2025/04/04,W,2:1,LOUD,VCT 25: AMER Stage 1,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3,14.0,"['Haven', 'Icebox', 'Split']","['L', 'W', 'W']","[6.0, 13.0, 13.0]","[13.0, 11.0, 8.0]",3.0,2.0,1.0,"['Cryocells', 'eeiu', 'Asuna', 'zander', 'Boostio', 'lukxo', 'cauanzin', 'pANcada', 'dgzin', 'v1nny', 'Cryocells', 'eeiu', 'Asuna', 'zander', 'Boostio', 'lukxo', 'cauanzin', 'pANcada', 'dgzin', 'v1nny']","['100T', '100T', '100T', '100T', '100T', 'LOUD', 'LOUD', 'LOUD', 'LOUD', 'LOUD', '100T', '100T', '100T', '100T', '100T', 'LOUD', 'LOUD', 'LOUD', 'LOUD', 'LOUD']","[1.44, 1.08, 1.01, 0.98, 0.64, 1.32, 1.14, 1.06, 0.83, 0.62, 1.44, 1.08, 1.01, 0.98, 0.64, 1.32, 1.14, 1.06, 0.83, 0.62]"
120,100 Thieves,15,2025/03/29,W,2:0,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/459525/100-thieves-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w2,15.0,"['Fracture', 'Haven']","['W', 'W']","[13.0, 13.0]","[10.0, 7.0]",2.0,2.0,0.0,"['Cryocells', 'eeiu', 'zander', 'Boostio', 'Asuna', 'Derrek', 'NaturE', 'yay', 'supamen', 'icy', 'Cryocells', 'eeiu', 'zander', 'Boostio', 'Asuna', 'Derrek', 'NaturE', 'yay', 'supamen', 'icy']","['100T', '100T', '100T', '100T', '100T', 'EG', 'EG', 'EG', 'EG', 'EG', '100T', '100T', '100T', '100T', '100T', 'EG', 'EG', 'EG', 'EG', 'EG']","[1.75, 1.43, 0.83, 0.75, 0.66, 1.13, 1.05, 0.91, 0.9, 0.69, 1.75, 1.43, 0.83, 0.75, 0.66, 1.13, 1.05, 0.91, 0.9, 0.69]"
120,100 Thieves,16,2025/03/23,L,1:2,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/459522/sentinels-vs-100-thieves-champions-tour-2025-americas-stage-1-w1,16.0,"['Pearl', 'Haven', 'Split']","['L', 'W', 'L']","[5.0, 13.0, 1.0]","[13.0, 9.0, 13.0]",3.0,1.0,2.0,"['bang', 'Zellsis', 'johnqt', 'zekken', 'N4RRATE', 'Cryocells', 'Asuna', 'eeiu', 'zander', 'Boostio', 'bang', 'Zellsis', 'johnqt', 'zekken', 'N4RRATE', 'Cryocells', 'Asuna', 'eeiu', 'zander', 'Boostio']","['SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T', 'SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T']","[1.32, 1.23, 1.14, 0.99, 0.98, 1.04, 1.0, 1.0, 0.75, 0.66, 1.32, 1.23, 1.14, 0.99, 0.98, 1.04, 1.0, 1.0, 0.75, 0.66]"
120,100 Thieves,17,2025/01/24,L,1:2,NRG,VCT 25: AMER Kickoff,https://www.vlr.gg/428005/100-thieves-vs-nrg-esports-champions-tour-2025-americas-kickoff-lr1,17.0,"['Lotus', 'Pearl', 'Bind']","['W', 'L', 'L']","[14.0, 9.0, 9.0]","[12.0, 13.0, 13.0]",3.0,1.0,2.0,"['eeiu', 'Asuna', 'zander', 'Cryocells', 'Boostio', 'mada', 'Verno', 's0m', 'FiNESSE', 'Ethan', 'eeiu', 'Asuna', 'zander', 'Cryocells', 'Boostio', 'mada', 'Verno', 's0m', 'FiNESSE', 'Ethan']","['100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG', '100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG']","[1.11, 0.93, 0.9, 0.89, 0.49, 1.46, 1.13, 1.12, 1.1, 0.77, 1.11, 0.93, 0.9, 0.89, 0.49, 1.46, 1.13, 1.12, 1.1, 0.77]"
120,100 Thieves,18,2025/01/18,L,1:2,Sentinels,VCT 25: AMER Kickoff,https://www.vlr.gg/427996/sentinels-vs-100-thieves-champions-tour-2025-americas-kickoff-ubqf,18.0,"['Split', 'Bind', 'Pearl']","['W', 'L', 'L']","[13.0, 9.0, 9.0]","[4.0, 13.0, 13.0]",3.0,1.0,2.0,"['johnqt', 'N4RRATE', 'zekken', 'bang', 'Zellsis', 'Cryocells', 'eeiu', 'Asuna', 'zander', 'Boostio', 'johnqt', 'N4RRATE', 'zekken', 'bang', 'Zellsis', 'Cryocells', 'eeiu', 'Asuna', 'zander', 'Boostio']","['SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T', 'SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T']","[1.34, 1.09, 1.04, 0.97, 0.87, 1.25, 0.93, 0.92, 0.9, 0.71, 1.34, 1.09, 1.04, 0.97, 0.87, 1.25, 0.93, 0.92, 0.9, 0.71]"
120,100 Thieves,19,2025/01/16,W,2:0,MIBR,VCT 25: AMER Kickoff,https://www.vlr.gg/427992/mibr-vs-100-thieves-champions-tour-2025-americas-kickoff-ur1,19.0,"['Lotus', 'Bind']","['W', 'W']","[13.0, 13.0]","[4.0, 9.0]",2.0,2.0,0.0,"['aspas', 'nzr', 'xenom', 'artzin', 'cortezia', 'Cryocells', 'Asuna', 'eeiu', 'Boostio', 'zander', 'aspas', 'nzr', 'xenom', 'artzin', 'cortezia', 'Cryocells', 'Asuna', 'eeiu', 'Boostio', 'zander']","['MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR', '100T', '100T', '100T', '100T', '100T', 'MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR', '100T', '100T', '100T', '100T', '100T']","[1.16, 0.87, 0.73, 0.57, 0.55, 1.46, 1.41, 1.29, 1.02, 0.87, 1.16, 0.87, 0.73, 0.57, 0.55, 1.46, 1.41, 1.29, 1.02, 0.87]"
120,100 Thieves,20,2024/11/26,L,1:2,Trust In Plug,FTWD 2024,https://www.vlr.gg/423186/100-thieves-vs-trust-in-plug-for-those-who-dare-2024-sf,20.0,"['Haven', 'Sunset', 'Bind']","['W', 'L', 'L']","[13.0, 10.0, 7.0]","[6.0, 13.0, 13.0]",3.0,1.0,2.0,"['zander', 'Cryocells', 'eeiu', 'Asuna', 'Boostio', 'Jerrwin', 'mikeE', 'monSi', 'bao', 'Teague']","['100T', '100T', '100T', '100T', '100T', 'PLUG', 'PLUG', 'PLUG', 'PLUG', 'PLUG']","[1.05, 0.99, 0.98, 0.88, 0.87, 1.38, 1.2, 1.06, 1.01, 0.81]"
