team_id,team_name,match_number_x,date,result,score,opponent,tournament,match_url,match_number_y,maps_played,map_results,our_scores,their_scores,total_maps,maps_won,maps_lost,all_players,all_player_teams,all_player_ratings,has_valid_team,mean_my_rating,mean_opp_rating,rolling_15d_my,rolling_15d_opp,rolling_20d_my,rolling_20d_opp,rolling_21d_my,rolling_21d_opp,rolling_22d_my,rolling_22d_opp,rolling_23d_my,rolling_23d_opp,rolling_24d_my,rolling_24d_opp,rolling_25d_my,rolling_25d_opp,rolling_30d_my,rolling_30d_opp,rolling_45d_my,rolling_45d_opp,rolling_60d_my,rolling_60d_opp,rolling_80d_my,rolling_80d_opp,rolling_90d_my,rolling_90d_opp,rolling_100d_my,rolling_100d_opp,rolling_120d_my,rolling_120d_opp,rolling_150d_my,rolling_150d_opp,rolling_200d_my,rolling_200d_opp,r2_advantage,decayed_map_pool_my,decayed_map_pool_opp,map_pool_advantage,has_map_pool_data,my_past_winrate,opp_past_winrate,winrate_advantage,round_differential,rolling_round_diff,my_team_rating_std,opp_team_rating_std,rolling_my_consistency,rolling_opp_consistency,consistency_advantage,my_best_player,opp_best_player,star_player_diff,rolling_my_star,rolling_opp_star,star_player_advantage,recent_form,h2h_advantage
120,100 Thieves,49,2023-07-16,L,1:2,Sentinels,VCT 2023: Americas LCQ,https://www.vlr.gg/232730/sentinels-vs-100-thieves-champions-tour-2023-americas-last-chance-qualifier-ubqf,49.0,"['Pearl', 'Split', 'Bind']","['W', 'L', 'L']","[14.0, 7.0, 7.0]","[12.0, 13.0, 13.0]",3.0,1.0,2.0,"['zekken', 'TenZ', 'Sacy', 'Marved', 'pANcada', 'Cryocells', 'stellar', 'Asuna', 'bang', 'Derrek']","['SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T']","[1.29, 1.1, 1.07, 1.03, 0.93, 1.19, 1.01, 0.94, 0.83, 0.68]",True,0.93,1.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.33333333333333337,0.0,0.33333333333333337,1,0.0,0.5,-0.5,-10.0,-11.0,0.1179152237838694,0.1712308383440319,0.0,0.0,0.0,1.29,1.19,0.10000000000000009,1.0,1.0,0.0,0.5,0.5
120,100 Thieves,47,2023-11-03,W,1:0,SCARZ,Red Bull HG #4,https://www.vlr.gg/283094/100-thieves-vs-scarz-red-bull-home-ground-4-r2,47.0,['Split'],['W'],[13.0],[7.0],1.0,1.0,0.0,"['bang', 'eeiu', 'NaturE', 'Cryocells', 'Asuna', 'Allen', 'Lumo', 'MrTenzouEz', 'Yoshiii', 'Tempura']","['100T', '100T', '100T', '100T', '100T', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ']","[1.44, 1.16, 1.1, 1.06, 0.91, 1.24, 1.09, 1.0, 0.79, 0.47]",True,1.134,0.9179999999999999,,,,,,,,,,,,,,,,,,,0.9430000000000001,1.07,0.9430000000000001,1.07,0.9430000000000001,1.07,0.9430000000000001,1.07,0.9430000000000001,1.07,0.9430000000000001,1.07,0.9430000000000001,1.07,0.0,0.3333333333333333,0.0,0.3333333333333333,1,0.0,0.5,-0.5,6.0,-10.0,0.1738505104968058,0.2672377218882095,0.0,0.0,0.0,1.44,1.24,0.19999999999999996,1.29,1.19,0.10000000000000009,0.5,0.5
120,100 Thieves,48,2023-11-03,L,0:1,FUT Esports,Red Bull HG #4,https://www.vlr.gg/283089/fut-esports-vs-100-thieves-red-bull-home-ground-4-r1,48.0,['Haven'],['L'],[3.0],[13.0],1.0,0.0,1.0,"['yetujey', 'AtaKaptan', 'MrFaliN', 'cNed', 'qRaxs', 'bang', 'NaturE', 'Cryocells', 'Asuna', 'eeiu']","['FUT', 'FUT', 'FUT', 'FUT', 'FUT', '100T', '100T', '100T', '100T', '100T']","[1.82, 1.53, 1.46, 1.18, 0.78, 1.03, 0.65, 0.52, 0.5, 0.35]",True,0.61,1.3539999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,1.032,1.001,1.032,1.001,1.0066666666666666,1.0193333333333332,0.0,0.3333333333333333,0.0,0.3333333333333333,1,0.0,0.5,-0.5,-10.0,6.0,0.3518863452877932,0.2305645245912736,0.0,0.0,0.0,1.82,1.03,0.79,1.44,1.24,0.19999999999999996,0.5,0.5
120,100 Thieves,46,2023-11-04,L,0:2,DRX,Red Bull HG #4,https://www.vlr.gg/283098/drx-vs-100-thieves-red-bull-home-ground-4-qf,46.0,"['Lotus', 'Ascent']","['L', 'L']","[8.0, 11.0]","[13.0, 13.0]",2.0,0.0,2.0,"['BuZz', 'Flashback', 'stax', 'MaKo', 'Foxy9', 'eeiu', 'Cryocells', 'Asuna', 'bang', 'NaturE']","['DRX', 'DRX', 'DRX', 'DRX', 'DRX', '100T', '100T', '100T', '100T', '100T']","[1.29, 1.1, 1.09, 0.97, 0.82, 1.03, 0.99, 0.96, 0.95, 0.89]",True,0.9640000000000001,1.054,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8719999999999999,1.136,0.8913333333333333,1.1186666666666667,0.8913333333333333,1.1186666666666667,0.9075,1.103,-0.264,0.44830304895363565,0.0,0.44830304895363565,1,0.25,0.5,-0.25,-7.0,-2.0,0.15551205741035004,0.046303347611160915,0.2628684278922995,0.24890112323974156,-0.013967304652557966,1.29,1.03,0.26,1.63,1.135,0.4949999999999999,0.5,0.5
120,100 Thieves,44,2024-01-13,L,1:2,Cloud9,LxT Invitational 2,https://www.vlr.gg/294186/cloud9-vs-100-thieves-ludwig-x-tarik-invitational-2-lr1,44.0,"['Lotus', 'Sunset', 'Icebox']","['W', 'L', 'L']","[13.0, 11.0, 13.0]","[11.0, 13.0, 15.0]",3.0,1.0,2.0,"['OXY', 'wippie', 'vanity', 'Xeppaa', 'jakee', 'Asuna', 'Boostio', 'Cryocells', 'bang', 'eeiu']","['C9', 'C9', 'C9', 'C9', 'C9', '100T', '100T', '100T', '100T', '100T']","[1.29, 1.17, 0.89, 0.85, 0.67, 1.15, 1.03, 0.99, 0.98, 0.9]",True,1.01,0.974,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9026666666666667,1.1086666666666665,0.9095,1.1025,0.9095,1.1025,0.9188000000000001,1.0932,-0.20599999999999974,0.24821431608295652,0.46268631358144857,-0.21447199749849205,1,0.2,0.4,-0.2,-2.0,-3.6666666666666665,0.2249977777668037,0.08173126696681016,0.227082971064983,0.181368531363548,-0.04571443970143502,1.29,1.15,0.14000000000000012,1.5166666666666666,1.0999999999999999,0.41666666666666674,0.5,0.5
120,100 Thieves,45,2024-01-13,L,0:2,Oxygen Esports,LxT Invitational 2,https://www.vlr.gg/294183/100-thieves-vs-oxygen-esports-ludwig-x-tarik-invitational-2-ubsf,45.0,"['Split', 'Ascent']","['L', 'L']","[7.0, 12.0]","[13.0, 14.0]",2.0,0.0,2.0,"['Boostio', 'Asuna', 'Cryocells', 'bang', 'eeiu', 'skuba', 'Verno', 'Reduxx', 'dapr', 'mitch']","['100T', '100T', '100T', '100T', '100T', 'OXG', 'OXG', 'OXG', 'OXG', 'OXG']","[1.07, 0.82, 0.78, 0.78, 0.75, 1.28, 1.22, 1.16, 1.13, 1.01]",True,0.8400000000000001,1.16,,,,,,,,,,,,,,,,,,,,,0.9295,1.075,0.9295,1.075,0.9295,1.075,0.9295,1.075,0.9295,1.075,0.9296,1.0768,0.0,0.24821431608295652,0.0,0.24821431608295652,1,0.2,0.5,-0.3,-8.0,-2.0,0.1171324037147706,0.09099450532861861,0.0,0.0,0.0,1.07,1.28,-0.20999999999999996,1.29,1.15,0.14000000000000012,0.5,0.5
120,100 Thieves,43,2024-02-17,L,1:2,LEVIATÁN,VCT 24: AMER Kickoff,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,43.0,"['Bind', 'Split', 'Icebox']","['L', 'W', 'L']","[9.0, 13.0, 11.0]","[13.0, 3.0, 13.0]",3.0,1.0,2.0,"['aspas', 'C0M', 'Mazino', 'tex', 'kiNgg', 'Cryocells', 'Boostio', 'eeiu', 'bang', 'Asuna']","['LEV', 'LEV', 'LEV', 'LEV', 'LEV', '100T', '100T', '100T', '100T', '100T']","[1.45, 1.2, 0.91, 0.78, 0.77, 1.14, 1.13, 0.94, 0.86, 0.8]",True,0.974,1.022,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.925,1.067,0.9116,1.092,0.9116,1.092,0.9116,1.092,0.9116,1.092,0.9116,1.092,0.9146666666666667,1.0906666666666667,-0.1419999999999999,0.21090298128311938,1.0,-0.7890970187168806,1,0.2,1.0,-0.8,4.0,-5.0,0.2643785165250762,0.13879481258317972,0.17106509074078716,0.08636288614771438,-0.08470220459307277,1.45,1.14,0.31000000000000005,1.1800000000000002,1.2149999999999999,-0.0349999999999997,0.5,0.5
120,100 Thieves,42,2024-02-19,L,1:2,Sentinels,VCT 24: AMER Kickoff,https://www.vlr.gg/295613/sentinels-vs-100-thieves-champions-tour-2024-americas-kickoff-elim-b,42.0,"['Lotus', 'Bind', 'Split']","['L', 'W', 'L']","[5.0, 13.0, 8.0]","[13.0, 6.0, 13.0]",3.0,1.0,2.0,"['zekken', 'johnqt', 'Sacy', 'TenZ', 'Zellsis', 'bang', 'Cryocells', 'eeiu', 'Asuna', 'Boostio']","['SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T']","[1.21, 1.18, 1.18, 1.15, 1.09, 0.97, 0.92, 0.88, 0.81, 0.79]",True,0.874,1.162,,,,,,,,,,,,,,,,,0.9413333333333332,1.0519999999999998,0.9413333333333332,1.0519999999999998,0.9413333333333332,1.052,0.9413333333333332,1.052,0.9413333333333332,1.052,0.922,1.0803333333333331,0.922,1.0803333333333331,0.922,1.0803333333333331,0.0,0.2639885906974457,0.0,0.2639885906974457,1,0.2,0.5,-0.3,-6.0,4.0,0.04069397989875157,0.06711184694225004,0.0,0.0,0.0,1.21,0.97,0.24,1.45,1.14,0.31000000000000005,0.0,0.5
120,100 Thieves,41,2024-04-07,L,0:2,Sentinels,VCT 24: AMER Stage 1,https://www.vlr.gg/314625/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-1-w1,41.0,"['Icebox', 'Split']","['L', 'L']","[10.0, 6.0]","[13.0, 13.0]",2.0,0.0,2.0,"['Sacy', 'Zellsis', 'TenZ', 'johnqt', 'zekken', 'Cryocells', 'bang', 'eeiu', 'Asuna', 'Boostio']","['SEN', 'SEN', 'SEN', 'SEN', 'SEN', '100T', '100T', '100T', '100T', '100T']","[1.4, 1.21, 1.17, 1.16, 0.94, 1.22, 1.04, 0.88, 0.82, 0.33]",True,0.858,1.176,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9239999999999999,1.092,0.9245,1.0795,0.9245,1.0795,0.9245,1.0795,0.9245,1.0795,0.9245,1.0795,0.9151428571428571,1.092,0.9151428571428571,1.092,0.9151428571428571,1.0919999999999999,-0.16800000000000015,0.28538257261048394,0.0,0.28538257261048394,1,0.0,0.5,-0.5,-10.0,-1.0,0.1465059725744995,0.2982884510000345,0.1525362482119139,0.10295332976271487,-0.049582918449199015,1.4,1.22,0.17999999999999994,1.33,1.055,0.27500000000000013,0.5,0.0
120,100 Thieves,40,2024-04-13,W,2:0,G2 Esports,VCT 24: AMER Stage 1,https://www.vlr.gg/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2,40.0,"['Bind', 'Split']","['W', 'W']","[13.0, 13.0]","[9.0, 8.0]",2.0,2.0,0.0,"['trent', 'leaf', 'JonahP', 'valyn', 'icy', 'eeiu', 'Cryocells', 'bang', 'Asuna', 'Boostio']","['G2', 'G2', 'G2', 'G2', 'G2', '100T', '100T', '100T', '100T', '100T']","[1.14, 0.92, 0.9, 0.88, 0.75, 1.25, 1.24, 1.22, 0.99, 0.88]",True,1.116,0.9179999999999999,,,,,,,,,,,,,,,,,,,0.902,1.1199999999999999,0.902,1.1199999999999999,0.9112,1.0988,0.9112,1.0988,0.9112,1.0988,0.9112,1.0988,0.9079999999999999,1.1024999999999998,0.0,0.20264204112157394,0.0,0.20264204112157394,1,0.0,0.5,-0.5,9.0,-10.0,0.1259206099095775,0.1521315220458929,0.0,0.0,0.0,1.14,1.25,-0.1100000000000001,1.4,1.22,0.17999999999999994,0.0,0.5
